OTU,Kingdom,Phylum,Class,Order,Family,Genus,Species,LancangBesar,Pari,Tidung,KarangBeras,Pramuka,Kotok,Sepa,Total
ASV4430,Bacteria,Proteobacteria,Gammaproteobacteria,KI89A clade,Unavailable,Unavailable,Unavailable,80,207,954,2458,1803,228,586,6316
ASV9892,Bacteria,Calditrichaeota,Calditrichia,Calditrichales,Calditrichaceae,JdFR-76,Unavailable,66,79,4490,587,387,572,6,6187
ASV10909,Bacteria,Firmicutes,Clostridia,Clostridiales,Unavailable,Unavailable,Unavailable,243,967,1673,517,1069,1029,688,6186
ASV8775,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,Porticoccus,uncultured bacterium,78,132,2087,2001,744,619,448,6109
ASV465,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Nitrosococcaceae,Cm1-21,uncultured gamma proteobacterium,595,484,966,1005,804,1358,881,6093
ASV7804,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Parvularculaceae,uncultured,uncultured Rhizobiales bacterium,12,582,966,2907,867,220,533,6087
ASV2697,Bacteria,Chloroflexi,Anaerolineae,SBR1031,uncultured bacterium,uncultured bacterium,uncultured bacterium,331,792,401,707,1816,969,1039,6055
ASV2243,Bacteria,Kiritimatiellaeota,Kiritimatiellae,WCHB1-41,uncultured gamma proteobacterium,uncultured gamma proteobacterium,uncultured gamma proteobacterium,260,1025,386,783,719,1673,1158,6004
ASV1263,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquimarina,Aquimarina sp. EF1C-B1014,210,107,835,501,2648,284,1202,5787
ASV426,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,Bauldia,Unavailable,345,1073,432,679,959,1336,948,5772
ASV4556,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9 marine group,uncultured bacterium,uncultured bacterium,481,576,439,585,1128,1391,1153,5753
ASV464,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,Pseudobacteriovorax,uncultured delta proteobacterium,208,1116,400,856,803,1673,689,5745
ASV11921,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta 2,uncultured bacterium,336,435,171,3566,938,145,141,5732
ASV3031,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,Pseudobacteriovorax,uncultured delta proteobacterium,1876,269,54,796,484,2002,156,5637
ASV1411,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,Unavailable,Unavailable,Unavailable,243,771,370,996,980,1136,1031,5527
ASV1057,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,uncultured Sphingobacteriia bacterium,336,834,219,917,1193,1014,989,5502
ASV780,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,uncultured,Unavailable,289,586,384,713,1268,933,1140,5313
ASV9195,Bacteria,Proteobacteria,Gammaproteobacteria,Unavailable,Unavailable,Unavailable,Unavailable,257,607,1046,887,762,825,841,5225
ASV656,Bacteria,Cyanobacteria,Oxyphotobacteria,Phormidesmiales,Nodosilineaceae,MBIC10086,uncultured bacterium,297,564,818,906,1027,654,939,5205
ASV255,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Altererythrobacter,Unavailable,293,385,732,887,902,429,1362,4990
ASV817,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Coleofasciculaceae,Caldora VP642b,Unavailable,17,444,690,1208,307,1119,1137,4922
ASV2793,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Xenococcaceae,Xenococcus PCC-7305,uncultured bacterium,101,524,1295,556,664,873,890,4903
ASV184,Bacteria,Gemmatimonadetes,BD2-11 terrestrial group,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,408,900,431,593,761,1074,567,4734
ASV1927,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Unavailable,Unavailable,277,298,897,779,1458,229,785,4723
ASV4812,Bacteria,Planctomycetes,OM190,Unavailable,Unavailable,Unavailable,Unavailable,235,742,313,813,716,984,844,4647
ASV4310,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,uncultured organism,123,503,1171,618,628,675,843,4561
ASV11374,Bacteria,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,429,605,1194,343,995,438,540,4544
ASV17283,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,EC94,uncultured bacterium,uncultured bacterium,2,32,6,809,578,473,2641,4541
ASV108,Bacteria,Proteobacteria,Gammaproteobacteria,KI89A clade,uncultured bacterium,uncultured bacterium,uncultured bacterium,156,722,793,519,880,770,681,4521
ASV597,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Urania-1B-19 marine sediment group,uncultured bacterium,570,611,872,526,605,639,625,4448
ASV4245,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,uncultured,Unavailable,291,611,785,718,803,632,570,4410
ASV2955,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,uncultured deep-sea bacterium,uncultured deep-sea bacterium,237,958,212,526,1236,542,698,4409
ASV13574,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,uncultured bacterium,128,287,1167,1928,298,323,274,4405
ASV4822,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,uncultured,uncultured bacterium,490,747,124,529,673,937,795,4295
ASV5104,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,P3OB-42,uncultured delta proteobacterium,uncultured delta proteobacterium,284,523,216,773,646,640,1116,4198
ASV6188,Bacteria,Proteobacteria,Deltaproteobacteria,NB1-j,Unavailable,Unavailable,Unavailable,200,822,453,451,547,1043,657,4173
ASV1546,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,EC94,uncultured bacterium,uncultured bacterium,2542,66,23,394,522,423,172,4142
ASV5217,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Lewinella,uncultured bacterium,243,489,122,680,771,1415,384,4104
ASV19837,Bacteria,Proteobacteria,Alphaproteobacteria,Unavailable,Unavailable,Unavailable,Unavailable,530,610,501,1319,193,356,590,4099
ASV4402,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Geitlerinemaceae,Geitlerinema PCC-7105,Unavailable,362,483,213,397,536,1307,795,4093
ASV8748,Bacteria,Proteobacteria,Gammaproteobacteria,Unavailable,Unavailable,Unavailable,Unavailable,0,0,0,0,4052,0,0,4052
ASV3860,Bacteria,Bacteroidetes,Rhodothermia,Rhodothermales,Rhodothermaceae,uncultured,uncultured bacterium,211,470,285,516,663,929,959,4033
ASV618,Bacteria,Chloroflexi,Dehalococcoidia,SAR202 clade,uncultured bacterium,uncultured bacterium,uncultured bacterium,329,370,487,606,752,361,983,3888
ASV8159,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Halobacteriovorax,Unavailable,332,478,253,405,1217,738,452,3875
ASV8418,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,uncultured,uncultured alpha proteobacterium,88,1133,11,1072,1089,373,101,3867
ASV8315,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,uncultured bacterium,uncultured bacterium,14,700,1043,1039,609,307,111,3823
ASV6171,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,uncultured,Unavailable,232,405,481,380,872,1015,408,3793
ASV6881,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,uncultured,Unavailable,Unavailable,265,537,244,553,676,920,550,3745
ASV3372,Bacteria,Planctomycetes,OM190,uncultured Planctomyces sp.,uncultured Planctomyces sp.,uncultured Planctomyces sp.,uncultured Planctomyces sp.,379,343,629,511,1008,453,413,3736
ASV1804,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured,uncultured Rhodobacterales bacterium,27,1101,202,643,337,900,439,3649
ASV731,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidetes BD2-2,Unavailable,Unavailable,158,403,231,2684,74,29,68,3647
ASV9298,Bacteria,Kiritimatiellaeota,Kiritimatiellae,Kiritimatiellales,Kiritimatiellaceae,uncultured bacterium,uncultured bacterium,1189,164,148,97,493,1328,151,3570
ASV3965,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 23,uncultured bacterium,195,424,697,797,628,325,487,3553
ASV3438,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,[Eubacterium] coprostanoligenes group,Unavailable,318,233,518,603,736,271,837,3516
ASV11804,Bacteria,Planctomycetes,vadinHA49,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,186,343,569,681,519,618,522,3438
ASV4578,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,uncultured,uncultured Bacteroidetes bacterium,uncultured Bacteroidetes bacterium,295,590,273,451,729,661,431,3430
ASV5325,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Xenococcaceae,Xenococcus CRM,Unavailable,136,369,822,429,382,570,678,3386
ASV9060,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,uncultured,uncultured bacterium,146,138,67,2095,843,28,24,3341
ASV1439,Bacteria,Proteobacteria,Alphaproteobacteria,Unavailable,Unavailable,Unavailable,Unavailable,47,1864,143,859,77,240,90,3320
ASV20303,Bacteria,Proteobacteria,Gammaproteobacteria,uncultured,uncultured bacterium,uncultured bacterium,uncultured bacterium,149,411,546,478,523,569,615,3291
ASV449,Bacteria,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,73,28,79,2800,89,88,71,3228
ASV7133,Bacteria,Gemmatimonadetes,BD2-11 terrestrial group,Unavailable,Unavailable,Unavailable,Unavailable,36,160,1091,261,186,528,933,3195
ASV826,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Rhodopirellula,Unavailable,148,323,638,500,492,452,639,3192
ASV17163,Bacteria,Lentisphaerae,Oligosphaeria,Oligosphaerales,Lenti-02,uncultured bacterium,uncultured bacterium,9,56,2272,22,1,644,143,3147
ASV4421,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Unavailable,Unavailable,113,199,863,664,351,639,305,3134
ASV1054,Bacteria,Proteobacteria,Gammaproteobacteria,Unavailable,Unavailable,Unavailable,Unavailable,67,906,439,917,244,238,309,3120
ASV6079,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Amoebophilaceae,uncultured,uncultured bacterium,135,194,559,658,775,485,313,3119
ASV696,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodovibrionales,Kiloniellaceae,Limibacillus,uncultured bacterium,181,366,241,494,550,737,549,3118
ASV12084,Bacteria,BRC1,uncultured candidate division BRC1 bacterium,uncultured candidate division BRC1 bacterium,uncultured candidate division BRC1 bacterium,uncultured candidate division BRC1 bacterium,uncultured candidate division BRC1 bacterium,267,324,461,515,610,469,449,3095
ASV1212,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10,uncultured bacterium,231,276,841,417,428,439,366,2998
ASV658,Bacteria,Proteobacteria,Gammaproteobacteria,KI89A clade,uncultured gamma proteobacterium,uncultured gamma proteobacterium,uncultured gamma proteobacterium,203,356,521,475,570,437,421,2983
ASV3460,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Nitrosococcaceae,AqS1,uncultured bacterium,315,227,909,719,272,300,227,2969
ASV3634,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Blfdi19,uncultured bacterium,uncultured bacterium,192,809,197,105,884,698,12,2897
ASV3546,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,SEEP-SRB1,uncultured delta proteobacterium,117,211,351,912,580,154,571,2896
ASV5450,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,uncultured,uncultured bacterium,uncultured bacterium,139,326,281,195,527,753,660,2881
ASV5809,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Neorickettsia,Unavailable,59,334,500,324,542,443,676,2878
ASV4094,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalispiraceae,Thiohalophilus,uncultured gamma proteobacterium,741,150,112,497,253,488,625,2866
ASV858,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,uncultured,uncultured Rhizobiales bacterium,7,537,148,884,506,544,190,2816
ASV8320,Bacteria,Proteobacteria,Gammaproteobacteria,Unavailable,Unavailable,Unavailable,Unavailable,31,520,93,600,479,146,911,2780
ASV969,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,Unavailable,Unavailable,85,358,161,243,334,942,654,2777
ASV19190,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,uncultured,uncultured bacterium,0,1974,1,0,799,0,0,2774
ASV3119,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,Labilibacter,uncultured bacterium,71,201,105,169,463,335,1420,2764
ASV4356,Bacteria,Planctomycetes,OM190,uncultured Planctomycetaceae bacterium,uncultured Planctomycetaceae bacterium,uncultured Planctomycetaceae bacterium,uncultured Planctomycetaceae bacterium,359,336,473,421,454,370,330,2743
ASV16583,Bacteria,Omnitrophicaeota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus,uncultured bacterium,38,670,824,89,40,1016,34,2711
ASV945,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,C1-B045,Cladosiphon okamuranus,584,95,11,689,121,621,490,2611
ASV3583,Bacteria,Proteobacteria,Alphaproteobacteria,Unavailable,Unavailable,Unavailable,Unavailable,158,0,2443,0,0,0,0,2601
ASV3118,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,uncultured,uncultured bacterium,104,522,151,391,297,706,393,2564
ASV3970,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,uncultured,uncultured bacterium,206,376,106,159,298,994,413,2552
ASV1338,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,uncultured,uncultured bacterium,56,378,662,315,395,443,266,2515
ASV5445,Bacteria,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae (Subgroup 3),PAUC26f,uncultured bacterium,73,376,196,356,416,652,443,2512
ASV647,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Lewinella,uncultured Bacteroidetes bacterium,129,410,309,257,244,891,264,2504
ASV4280,Bacteria,Proteobacteria,Gammaproteobacteria,Immundisolibacterales,Immundisolibacteraceae,uncultured,uncultured gamma proteobacterium,175,225,522,516,520,305,228,2491
ASV1872,Bacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,uncultured,Unavailable,Unavailable,110,394,466,276,349,464,427,2486
ASV189,Bacteria,Chloroflexi,Dehalococcoidia,SAR202 clade,Unavailable,Unavailable,Unavailable,82,82,996,282,213,543,286,2484
ASV2406,Bacteria,Proteobacteria,Alphaproteobacteria,Unavailable,Unavailable,Unavailable,Unavailable,62,237,190,78,66,1701,150,2484
ASV1099,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,uncultured bacterium,uncultured bacterium,uncultured bacterium,138,277,242,412,622,146,581,2418
ASV7875,Bacteria,Proteobacteria,Gammaproteobacteria,Unavailable,Unavailable,Unavailable,Unavailable,54,251,395,280,570,353,462,2365
ASV4736,Bacteria,Verrucomicrobia,Verrucomicrobiae,Methylacidiphilales,Methylacidiphilaceae,uncultured,uncultured organism,319,197,272,542,517,115,401,2363
ASV13599,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Prolixibacter,Unavailable,1,112,843,234,108,1023,41,2362
ASV2008,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,uncultured alpha proteobacterium,uncultured alpha proteobacterium,uncultured alpha proteobacterium,94,164,526,319,546,329,335,2313
ASV2526,Bacteria,Planctomycetes,BD7-11,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,6,1128,499,480,199,0,0,2312
ASV6618,Bacteria,Spirochaetes,V2072-189E03,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,204,406,384,312,698,111,176,2291
ASV2981,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Puniceicoccaceae,Unavailable,Unavailable,164,670,42,355,498,463,32,2224
ASV1706,Bacteria,Proteobacteria,Gammaproteobacteria,Thiohalorhabdales,Thiohalorhabdaceae,uncultured,uncultured bacterium,264,246,331,448,462,186,279,2216
ASV735,Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,uncultured,uncultured bacterium,uncultured bacterium,137,356,706,168,291,299,258,2215
ASV4597,Bacteria,Proteobacteria,Gammaproteobacteria,Unavailable,Unavailable,Unavailable,Unavailable,0,368,1683,27,100,14,15,2207
ASV6232,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Unavailable,Unavailable,22,713,15,640,418,313,76,2197
ASV7665,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Rhodopirellula,uncultured bacterium,112,263,436,442,400,236,300,2189
ASV2940,Bacteria,Proteobacteria,Deltaproteobacteria,NB1-j,Unavailable,Unavailable,Unavailable,159,154,669,354,421,184,245,2186
ASV3104,Bacteria,Proteobacteria,Gammaproteobacteria,KI89A clade,uncultured bacterium,uncultured bacterium,uncultured bacterium,23,516,1128,75,87,207,131,2167
ASV1695,Bacteria,Bacteroidetes,Rhodothermia,Rhodothermales,Rhodothermaceae,uncultured,Unavailable,228,217,459,342,309,382,204,2141
ASV7757,Bacteria,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,89,204,256,421,363,265,540,2138
ASV2661,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta 2,Unavailable,173,485,285,335,301,379,166,2124
ASV19380,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,uncultured bacterium,25,13,2,1450,362,260,0,2112
ASV7768,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix,Unavailable,88,214,488,277,288,362,341,2058
ASV8578,Bacteria,Planctomycetes,Phycisphaerae,MSBL9,SM23-30,uncultured organism,uncultured organism,249,237,121,197,399,400,439,2042
ASV7509,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,uncultured Bacteroidetes bacterium,54,519,122,96,628,607,13,2039
ASV924,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,Unavailable,24,22,27,1478,92,118,273,2034
ASV4617,Bacteria,Latescibacteria,uncultured Latescibacteria bacterium,uncultured Latescibacteria bacterium,uncultured Latescibacteria bacterium,uncultured Latescibacteria bacterium,uncultured Latescibacteria bacterium,22,25,1952,9,18,4,0,2030
ASV10288,Bacteria,Planctomycetes,OM190,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,84,279,139,233,231,701,358,2025
ASV2391,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodovibrionales,Kiloniellaceae,Kiloniella,Unavailable,13,342,1091,199,74,176,125,2020
